k,inercia
5,142790.3125
6,140270.59375
7,137782.40625
8,135643.609375
9,133505.96875
10,131814.6875
11,130426.609375
12,129252.265625
13,128082.0
14,126992.203125
15,125974.9765625
16,125106.0546875
17,124178.9453125
18,123132.9765625
19,122376.9375
20,121523.53125
21,120552.25
22,120013.7890625
23,119006.59375
24,118500.75
25,117519.6328125
26,116889.078125
27,116351.0234375
28,115535.7734375
29,115006.78125
30,114488.21875
