k,inercial
5,200529.8125
6,181622.8125
7,165717.359375
8,149846.875
9,136727.953125
10,125172.90625
11,118393.234375
12,109432.0078125
13,100741.53125
14,95821.8046875
15,88390.0
16,83471.4453125
17,78692.546875
18,74756.1953125
19,71685.3515625
20,67757.78125
21,63925.80859375
22,60564.7734375
23,57468.6484375
24,55701.9296875
25,53544.8515625
26,50608.375
27,48114.734375
28,46495.7578125
29,44711.78515625
30,42341.8203125
