k,inercial
5,213210.09375
6,187206.125
7,165326.125
8,144825.015625
9,133504.28125
10,122408.5625
11,111735.7265625
12,103478.0390625
13,96771.7890625
14,90401.484375
15,85612.515625
16,80643.59375
17,77506.8828125
18,73552.703125
19,69319.546875
20,66472.890625
21,63165.59375
22,60239.42578125
23,56968.88671875
24,54412.609375
25,51332.234375
26,49760.109375
27,47255.734375
28,45748.28125
29,42019.91015625
30,40266.8046875
